Entreupeneur Profile,2016 Rank,Company,Category Detail,Franchise 500 Rank,Initial Investment,High,Change In Units 1 Yr,Change In Units 3 Yr,Founded,Franchising Since,Corporate Address,Ceo,Parent Company,About,Net Worth Requirement,Liquid Cash Requirement,Initial Franchise Fee,Financing Options,Veteran Incentives,Previous Ranks,Highest Rank,Lowest Rank,Where Seeking Franchisees,Operations
https://www.entrepreneur.com/franchises/jimmyjohnssandwiches/282480,1,Jimmy John's Sandwiches,Sandwiches,#1 Franchise 500,"$325,500 ","$555,000 ",+9.0% +205 UNITS,+22.5% +514 UNITS,1983,1993 (23 Years),"2212 Fox Dr. Champaign, IL 61820",James North,Jimmy John's LLC,"Jimmy John's Sandwiches;James J. Liautaud founded Jimmy John's in Charleston, Illinois, in 1983 when he was 19 years old. With used equipment, a refrigerator, one meat slicer, a freezer and an oven, Jimmy John Liautaud started his business without even a posted menu or an outdoor sign. At the time, he offered four sandwich varieties and 25-cent soft drinks. After passing out sandwich samples throughout the college town, Liautuad added delivery service, tables, outdoor signs, menu boards and an expanded menu. He opened several more stores and developed a prototype before franchising began in 1993.;Jimmy John's franchisees bake bread at each store every day, and every sandwich is made fresh to order in 30 seconds.","$300,000 ","$80,000 ","$35,000 ","Jimmy John's Sandwiches has relationships with third-party sources which offer financing to cover the following;franchise fee, startup costs, equipment, inventory",,,1,85,throughout the US,"Training Onsite: 20 days;Training at headquarters: 17 days;Additional Training: 7 weeks for general managers, 3 weeks for assistant managers;Ongoing Support;Purchasing Co-ops;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media;Number of employees required to run: 20"
https://www.entrepreneur.com/franchises/hamptonbyhilton/284276,2,Hampton by Hilton,Midprice hotels,#2 Franchise 500,"$4,213,600 ","$14,896,500 ",+4.4% +90 UNITS,+5.7% +117 UNITS,1983,1984 (32 Years),"7930 Jones Branch Dr., #1100 McLean, VA 22102",Christopher Nassetta,Hilton Worldwide,"Hampton by Hilton;The first Hampton Inn opened in Memphis, Tennessee in 1984. Hampton Inn was the first mid-price national hotel chain to begin offering a free continental breakfast and free local phone calls. In 1995, the Hampton brand introduced Hampton Inn & Suites, which consisted of two-room suite hotel rooms with living rooms and kitchen areas.;In 1999, Hampton Inn was acquired by Hilton Worldwide, which has hotels in more than 90 countries. Other Hilton Worldwide brands include Waldorf Astoria Hotels & Resorts, Conrad Hotels & Resorts, Hilton Hotels & Resorts, DoubleTree by Hilton, Embassy Suites by Hilton, Hilton Garden Inn, Homewood Suites by Hilton, Home2 Suites by Hilton, Curio - A Collection by Hilton, Canopy by Hilton and Hilton Grand Vacations.",,,"$75,000 ","Hampton by Hilton has relationships with third-party sources which offer financing to cover the following;franchise fee, startup costs, equipment, inventory, accounts receivable, payroll",,,1,48,worldwide,Training Onsite: varies;Training at headquarters: varies;Additional Training: General manager training;Ongoing Support;Purchasing Co-ops;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media;Absentee Ownership Allowed;Number of employees required to run: 25
https://www.entrepreneur.com/franchises/supercuts/282848,3,Supercuts,Hair salons,#3 Franchise 500,"$144,400 ","$293,800 ",+5.3% +136 UNITS,+8.8% +225 UNITS,1975,1979 (37 Years),"7201 Metro Blvd. Minneapolis, MN 55439",Dan Hanrahan,Regis,"Supercuts;In 1975, Frank Emmett and Geoffrey Rappaport opened the first Supercuts in Albany, California, as an alternative to both high-fashion salons and neighborhood barbershops. They developed a hair-cutting technique that took only 20 minutes so that they could offer quick and inexpensive haircuts without appointments. They also allowed their customers to pick and choose which particular services they wanted, in order to tailor their experience to their desires and budgets. With this standardized business model in place, the men began franchising in 1979, and their stores soon spread throughout the U.S.;In 1996, Supercuts was acquired by Regis Corp., which also franchises City Looks, Cost Cutters Family Hair Care and Pro-Cuts in the U.S., and Magicuts and First Choice Haircutters in Canada.","$500,000 ","$150,000 ","$29,500 ","Supercuts has relationships with third-party sources which offer financing to cover the following;startup costs, equipment, inventory","$2,500 rebate on first-store franchise fee",,3,40,,Training at headquarters: 5 days;Additional Training: At training center;Ongoing Support;Purchasing Co-ops;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media;Absentee Ownership Allowed;Number of employees required to run: 6 - 8
https://www.entrepreneur.com/franchises/servpro/282790,4,Servpro,Insurance/disaster restoration and cleaning,#4 Franchise 500,"$156,075 ","$209,950 ",+1.8% +30 UNITS,+4.7% +80 UNITS,1967,1969 (47 Years),"801 Industrial Blvd. Gallatin, TN 37066",Sue Steen,Servpro Industries Inc.,"Servpro;Servpro started out in 1967 as a painting business. Two years later, founders Ted and Doris Isaacson began franchising it as a cleaning and restoration company. In 1988, they moved the company from Sacramento, California to Gallatin, Tennessee in order to be within 600 miles of 50 percent of the U.S. population.;Servpro franchisees specialize in disaster restoration, offering cleanup and repairs to both commercial and residential customers whose property has suffered fire or water damage. They also offer mold remediation, carpet and upholstery cleaning, air duct and HVAC cleaning, and other related services.",,"$105,000 ","$46,000 ","Servpro offers in-house financing to cover the following: franchise fee, equipment, inventory",,,4,43,,Training Onsite: 5 days;Training at headquarters: 15 days;Additional Training: Business development program;Ongoing Support;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Ad Slicks;Regional Media;National Media;Number of employees required to run: 5 - 10
https://www.entrepreneur.com/franchises/subway/282839,5,Subway,"Subs, salads",#5 Franchise 500,"$116,600 ","$263,150 ",+1.7% +768 UNITS,+9.4% +4149 UNITS,1965,1974 (42 Years),"325 Bic Dr. Milford, CT 06461",Suzanne Greco,Doctor's Associates,"Subway;In 1965, 17-year-old Fred DeLuca and family friend Peter Buck opened Pete's Super Submarines in Bridgeport, Connecticut. With a loan from Buck for only $1,000, DeLuca hoped the tiny sandwich shop would earn enough to put him through college. After struggling through the first few years, the founders changed the company's name to Subway and began franchising in 1974. Subway has franchises throughout the United States and in 98 countries, with locations in traditional and nontraditional sites alike.","$80,000 - $310,000","$30,000 - $90,000","$15,000 ","Subway offers in-house financing to cover the following: franchise fee, equipment","Franchise fee waived if opening on a military/government location, 50% off franchise fee if opening on non-government location but receiving government financing",,1,9,worldwide,"Training Onsite: 10 days;Training at headquarters: 14 days;Additional Training: Training available in Australia, China, Germany, India, Montreal, Canada & Miami;Ongoing Support;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media;Absentee Ownership Allowed;Number of employees required to run: 8 - 12"
https://www.entrepreneur.com/franchises/mcdonalds/282570,6,McDonald's,"Burgers, chicken, salads, beverages",#6 Franchise 500,"$1,003,000 ","$2,228,000 ",+2.3% +842 UNITS,+4.5% +1632 UNITS,1955,1955 (61 Years),"2915 Jorie Blvd. Oak Brook, IL 60523",Steve Easterbrook,,"McDonald's;Ray Kroc, a milkshake mixer salesman, ventured to California in 1954 to visit McDonald's hamburger stand, where he heard they were running eight mixers at once. Kroc was impressed by how rapidly customers were served and, seeing an opportunity to sell many more milkshake machines, encouraged brothers Dick and Mac McDonald to open a chain of their restaurants. Kroc became their business partner and opened the first McDonald's in Des Plaines, Illinois in 1955. McDonald's and the Golden Arches have since become an internationally-recognized symbol of quick-service hamburgers, fries, chicken, breakfast items, salads and milkshakes.",,"$500,000 ","$45,000 ",McDonald's has relationships with third-party sources which offer financing to cover the following;equipment,,,2,16,worldwide,Training Onsite: 6-24 months;Training at headquarters: varies;Additional Training: At local McDonald's restaurant;Ongoing Support;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media
https://www.entrepreneur.com/franchises/7eleveninc/282052,7,7-Eleven Inc.,Convenience stores,#7 Franchise 500,"$37,200 ","$1,635,200 ",+5.2% +2918 UNITS,+9.7% +5495 UNITS,1927,1964 (52 Years),"P.O. Box 711 Dallas, TX 75221-0711",Joseph DePinto,"Seven & i Holdings Co., Ltd.","7-Eleven Inc.;7-Eleven's origins date back to 1927, when an employee of the Southland Ice Company in Dallas, Texas, began selling milk, bread and eggs in addition to the ice blocks. That employee, Joe C. Thompson, eventually bought the Southland Ice Company, turned it into the Southland Corporation, and began opening convenience stores. The first stores went by the name Tote'm, since customers ""toted"" away their purchases, but in 1946, when the stores' hours were extended--from 7 a.m. to 11 p.m.--they got a new name. Although 7-Eleven stores are now open 24 hours a day, the name stuck.","$100,000 - $250,000","$50,000 - $150,000","$10,000 - $1,000,000","7-Eleven Inc. offers in-house financing to cover the following: franchise fee, startup costs, equipment, inventory, accounts receivable, payroll","10-20% off franchise fee, special financing",,1,30,internationally,Training Onsite: 28-42 days;Training at headquarters: 5 days;Additional Training: At local training centers;Ongoing Support;Purchasing Co-ops;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media;Number of employees required to run: 7 - 10
https://www.entrepreneur.com/franchises/dunkindonuts/282304,8,Dunkin' Donuts,"Coffee, doughnuts, baked goods",#8 Franchise 500,"$228,621 ","$1,692,314 ",+5.0% +575 UNITS,+6.4% +745 UNITS,1950,1955 (61 Years),"130 Royall St. Canton, MA 02021",Nigel Travis,Dunkin' Brands,"Dunkin' Donuts;In 1946, Bill Rosenberg founded Industrial Luncheon Services, a company that delivered meals and snacks to workers in the Boston area. The success of Industrial Luncheon Services convinced Rosenberg to start The Open Kettle, a doughnut shop in Quincy, Massachusetts. Two years later, The Open Kettle changed its name to Dunkin' Donuts.;Today, Dunkin' Donuts stores can be found in over 32 countries, and they serve 70 varieties of doughnuts, along with hot and cold coffee drinks, bagels, breakfast sandwiches and other baked goods. Dunkin' Donuts parent company, Dunkin' Brands Inc., also franchises Baskin-Robbins, and the two concepts are sometimes co-branded.","$250,000 ","$125,000 ","$40,000 - $90,000",Veteran Incentives;20% off franchise fee for first five traditional restaurants,20% off franchise fee for first five traditional restaurants,,2,36,,Training at headquarters: 30 days;Ongoing Support;Purchasing Co-ops;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media
https://www.entrepreneur.com/franchises/dennysinc/282278,9,Denny's Inc.,Family restaurants,#9 Franchise 500,"$915,569 ","$2,421,185 ",,+0.8% +13 UNITS,1953,1963 (53 Years),"203 E. Main St. Spartanburg, SC 29319",John Miller,Denny's Inc.,"Denny's Inc.;In 1953, Harold Butler opened Danny's Donuts in Lakewood, California. Six years later, there were 20 shops in the chain and the company changed its name to Denny's. In 1966, the company went public, and in 1977, they introduced the Grand Slam breakfast. Today, Denny's locations serve breakfast, lunch and dinner choices 24 hours a day, 365 days a year. Its corporate headquarters is in Spartanburg, South Carolina.","$1,000,000 ","$500,000 ","$40,000 ","Denny's Inc. has relationships with third-party sources which offer financing to cover the following;franchise fee, startup costs, equipment, inventory",,,7,61,,Training Onsite: 21 days;Training at headquarters: 91 days;Additional Training: At existing Denny's restaurants;Ongoing Support;Purchasing Co-ops;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media;Absentee Ownership Allowed;Number of employees required to run: 80
https://www.entrepreneur.com/franchises/anytimefitness/306988,10,Anytime Fitness,Fitness centers,#10 Franchise 500,"$80,020 ","$490,100 ",+10.1% +307 UNITS,+21.0% +639 UNITS,2001,2002 (14 Years),"111 Weir Dr. Woodbury, MN 55125",Chuck Runyon,Self Esteem Brands,"Anytime Fitness;Anytime Fitness clubs are open 24 hours a day every day of the year, thanks to security systems that allow members to access the clubs during unstaffed hours. The company, which began franchising in 2002, is expanding worldwide.","$300,000 ","$100,000 ","$19,000 - $37,500","Anytime Fitness has relationships with third-party sources which offer financing to cover the following;franchise fee, startup costs, equipment, inventory, accounts receivable, payroll",20% off franchise fee,,1,353,worldwide,Training Onsite: 1 day;Training at headquarters: 10 days;Additional Training: Ongoing training;Ongoing Support;Purchasing Co-ops;Newsletter;Meetings;Toll-Free Line;Grand Opening;Internet;Security;Field Operations;Marketing Support;Co-op Advertising;Ad Slicks;Regional Media;National Media;Absentee Ownership Allowed
